Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,/nextflow_runs/work/fb/464ce517799c0b01138b14fdb1c9dd/250625_Stitch_S4611_IB_TPP_stauros_treat_T7_rep3_R1.mzML,/nextflow_runs/work/49/fff17fe9717f1f92c3b4f3077568c3/250625_Stitch_S4610_IB_TPP_stauros_control_T7_rep2_R1.mzML,/nextflow_runs/work/05/0ef9e12a9f67c211060c7bab5069a9/250625_Stitch_S4611_IB_TPP_stauros_treat_T7_rep4_R1.mzML,/nextflow_runs/work/4a/9432495e41bd8bbe87c9d3638261ab/250625_Stitch_S4610_IB_TPP_stauros_control_T7_rep3_R1.mzML,/nextflow_runs/work/32/cfdc447731b6ae3eeb8a1a59d80f7d/250625_Stitch_S4611_IB_TPP_stauros_treat_T7_rep2_R1.mzML,/nextflow_runs/work/a5/0d03ac2c94125adce7ed102f01d7b0/250625_Stitch_S4611_IB_TPP_stauros_treat_T7_rep1_R1.mzML,/nextflow_runs/work/41/7194089913d508dfafd83cefbf2d44/250625_Stitch_S4610_IB_TPP_stauros_control_T7_rep1_R1.mzML,/nextflow_runs/work/87/7227e97a34af4640a32017e9bedaf0/250625_Stitch_S4610_IB_TPP_stauros_control_T7_rep4_R1.mzML
A2A8L5;Q64487,A2A8L5;Q64487,PTPRD_MOUSE;PTPRF_MOUSE,Ptprd;Ptprf,Receptor-type tyrosine-protein phosphatase F,25945.2,22149.7,36078.9,31184.2,23647.2,22666.8,20106.4,24019.3
A2ADY9,A2ADY9,DDI2_MOUSE,Ddi2,Protein DDI1 homolog 2,86014.8,95553.2,95417.5,88143.7,82919.2,97575.2,86913.7,86492.1
A2ADY9;Q9DAF3,A2ADY9;Q9DAF3,DDI1_MOUSE;DDI2_MOUSE,Ddi1;Ddi2,Protein DDI1 homolog 2,7488.73,5614.93,6117.53,4829.91,11419.8,11587.2,7918.51,9634.11
A2AEP0,A2AEP0,OBP1B_MOUSE,Obp1b,Odorant-binding protein 1b,10953.7,3778.17,7932.21,7241.94,2959.95,8415.72,4120.64,4365.43
A2AHC3,A2AHC3,CAMP1_MOUSE,Camsap1,Calmodulin-regulated spectrin-associated protein 1,7247.73,2694.72,3480.28,1419.56,2378.41,,3067.92,5922.04
A2AIG8,A2AIG8,1A1L1_MOUSE,Accs,1-aminocyclopropane-1-carboxylate synthase-like protein 1,1557.17,,,1500.65,1131.18,,,1446.66
A2AJB2,A2AJB2,TM141_MOUSE,Tmem141,Transmembrane protein 141,23151.4,19257.6,14463.2,24847.2,16355.7,18217.3,11317.9,22513.6
A2AJI0,A2AJI0,MA7D1_MOUSE,Map7d1,MAP7 domain-containing protein 1,20073.6,15417.4,22132.6,20277.5,16366.2,21661.5,15822.4,20002.5
A2AJL3,A2AJL3,FGGY_MOUSE,Fggy,FGGY carbohydrate kinase domain-containing protein,210828,219641,205452,205705,263231,221010,255803,209682
A2AJT4,A2AJT4,PNISR_MOUSE,Pnisr,Arginine/serine-rich protein PNISR,8602.01,1484.03,6758.17,7175.89,7796.18,4327.11,5648.55,8536.71
A2AKK5,A2AKK5,ACNT1_MOUSE,Acnat1,Acyl-coenzyme A amino acid N-acyltransferase 1,4690.18,3196.4,3734.42,5592.61,9977.54,4192.79,7842.36,4758.42
A2AKK5;Q8BGG9,A2AKK5;Q8BGG9,ACNT1_MOUSE;ACNT2_MOUSE,Acnat1;Acnat2,Acyl-coenzyme A amino acid N-acyltransferase 1,80673.8,59363.6,77480.5,83408.9,65631.9,70610.5,59112.5,77624.8
A2AKQ0,A2AKQ0,S35D1_MOUSE,Slc35d1,Nucleotide sugar transporter SLC35D1,6917.74,8002.91,4644.17,10755.1,7164.06,8710.35,15873.4,7687.52
A2ALU4,A2ALU4,SHRM2_MOUSE,Shroom2,Protein Shroom2,14318,13616.4,13807.3,13748.3,11447.5,12776,11461.6,12860.9
A2AMZ4,A2AMZ4,NDUF8_MOUSE,Ndufaf8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8,3717.96,,,6163.14,2992.94,4874.57,4880.09,
A2APT9,A2APT9,KLD7A_MOUSE,Klhdc7a,Kelch domain-containing protein 7A,13676.1,14436.4,7237.53,10462.3,10366.4,11942.6,7927.04,11631.1
A2AQ19,A2AQ19,RTF1_MOUSE,Rtf1,RNA polymerase-associated protein RTF1 homolog,24961.3,26983.9,24876.2,28173.5,23367.2,28520.1,27023.7,28245.6
A2AQ25,A2AQ25,SKT_MOUSE,Skt,Sickle tail protein,14480.7,15642.5,21296.2,17068.1,15091,12985.5,12501.6,11199.9
A2AR02,A2AR02,PPIG_MOUSE,Ppig,Peptidyl-prolyl cis-trans isomerase G,6641.11,2746.11,11438.3,4552.95,3720.16,4509.3,2431.29,8553.71
A2ARA8,A2ARA8,ITA8_MOUSE,Itga8,Integrin alpha-8,8547.51,7828.39,8783.67,7982.08,8619.52,7477.02,5973.47,11095
A2ARZ3,A2ARZ3,FSIP2_MOUSE,Fsip2,Fibrous sheath-interacting protein 2,134497,51705.4,97024.3,62334.5,97109.8,53034.4,38116.2,140634
A2AS89,A2AS89,GDAH_MOUSE,Agmat,"Guanidino acid hydrolase, mitochondrial",624690,363750,346935,512019,502982,364056,444847,651415
A2ASZ8,A2ASZ8,SCMC2_MOUSE,Slc25a25,Mitochondrial adenyl nucleotide antiporter SLC25A25,16641.5,12846.3,15981.4,12942.2,12018.6,13260.4,14151,14196
A2ATU0,A2ATU0,DHTK1_MOUSE,Dhtkd1,2-oxoadipate dehydrogenase complex component E1,11409.8,10790.7,5386.03,9722.51,8746.39,6808.54,8338.1,6891.52
A2AWA9,A2AWA9,RBGP1_MOUSE,Rabgap1,Rab GTPase-activating protein 1,11090.1,9610.81,10583.9,10777.3,8907.77,10035,11639.2,7989.02
A2AWR3,A2AWR3,LYCHS_MOUSE,Gpr155,Lysosomal cholesterol signaling protein,9203.13,11352.9,8261.25,13140.4,9645.82,11814.9,8150.23,10909.6
A2BH40,A2BH40,ARI1A_MOUSE,Arid1a,AT-rich interactive domain-containing protein 1A,3641.02,7627.94,6096.31,,3927.33,3864.41,4219.14,8392.69
A2BH40;E9Q4N7,A2BH40;E9Q4N7,ARI1A_MOUSE;ARI1B_MOUSE,Arid1a;Arid1b,AT-rich interactive domain-containing protein 1A,8538.82,,5421.17,4470.22,1039.73,1561.45,2425.48,1530.48
A2BIM8;P02762;P04938;P11588;P11589,P02762;P04938;P11588;P11589;A2BIM8,MUP11_MOUSE;MUP18_MOUSE;MUP1_MOUSE;MUP2_MOUSE;MUP6_MOUSE,Mup1;Mup11;Mup18;Mup2;Mup6,Major urinary protein 18,51616.3,46806.2,44229.3,44967.6,51193.5,53744.5,61686.7,53528.5
A2CG49,A2CG49,KALRN_MOUSE,Kalrn,Kalirin,1294.89,14418.2,17000.3,8686.15,7007.65,,6812.03,
A2RSJ4,A2RSJ4,BLT3B_MOUSE,Bltp3b,Bridge-like lipid transfer protein family member 3B,7663.21,6868.88,8241.75,5483.43,6440.5,8066.88,5031.85,5478.13
A2RSY1,A2RSY1,KANL3_MOUSE,Kansl3,KAT8 regulatory NSL complex subunit 3,,,,5516.62,5287.09,6204.5,4302.61,
A2RT67,A2RT67,DEND3_MOUSE,Dennd3,DENN domain-containing protein 3,22960.1,15667.8,22299.7,15908.3,15977.4,11295.9,9795.32,12491.7
A2RTL5,A2RTL5,RSRC2_MOUSE,Rsrc2,Arginine/serine-rich coiled-coil protein 2,3523.63,6715.83,6335.52,7793.18,7286.9,5159.78,6945.89,7624.52
A3KGF9,A3KGF9,CCD9B_MOUSE,Ccdc9b,Coiled-coil domain-containing protein 9B,1860.73,1415.71,,2360.89,1778.18,,2642.67,
A3KGF9;Q8VC31,A3KGF9;Q8VC31,CCD9B_MOUSE;CCDC9_MOUSE,Ccdc9;Ccdc9b,Coiled-coil domain-containing protein 9B,8976.35,8906.1,11774.4,10425.1,10338.4,13196,8222.48,5438.49
A3KGV1,A3KGV1,ODFP2_MOUSE,Odf2,Outer dense fiber protein 2,11248.2,4071.97,10173.2,3844.47,7405.55,1892.05,1996.65,17230.9
A3KMN5,A3KMN5,LARGN_MOUSE,Prr16,Protein Largen,7584.68,7074.38,6253.07,5232.49,5600.42,9062.29,6286.98,7080.47
A3KMP2,A3KMP2,TTC38_MOUSE,Ttc38,Tetratricopeptide repeat protein 38,62712.2,52359.2,59518.6,52160,58533.7,65871.7,66606.5,60974.1
A6H5X4,A6H5X4,PHF11_MOUSE,Phf11,PHD finger protein 11,,1274.91,5009.57,3555.85,2439.38,3200.39,2441.47,5969.74
A6H6A9,A6H6A9,RBG1L_MOUSE,Rabgap1l,Rab GTPase-activating protein 1-like,4759.61,5254.99,6081.83,4199.16,4294.35,5046.72,4476.42,5451.47
A6H6E2,A6H6E2,MMRN2_MOUSE,Mmrn2,Multimerin-2,2197.55,3027.44,,3934.91,5758.38,3863.35,6522.57,
A6H8H2,A6H8H2,DEN4C_MOUSE,Dennd4c,DENN domain-containing protein 4C,5121.77,4549,3812.32,4134.91,4119.88,3789.93,4025.6,4249.21
A6X8Z5,A6X8Z5,RHG31_MOUSE,Arhgap31,Rho GTPase-activating protein 31,5643.29,5917.86,4485.83,6538,5498.92,4886.28,3651.29,7267.74
A6X935,A6X935,ITIH4_MOUSE,Itih4,"Inter alpha-trypsin inhibitor, heavy chain 4",89288.4,96029.1,93227,87219.5,95379.5,94558.6,99836.8,87708.4
A9JSM3,A9JSM3,TM238_MOUSE,Tmem238,Transmembrane protein 238,20958.7,10674,15219.9,20459.9,19789.5,23216.2,16266.1,18425.6
B1AR13,B1AR13,CISD3_MOUSE,Cisd3,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial",64419.6,68682.8,75776.6,61106.9,50217.8,54370.9,62122,57553.8
B1ARW8,B1ARW8,CA122_MOUSE,,Uncharacterized protein C1orf122 homolog,16154.1,9232.09,14944.7,14492.6,10827.1,10664.2,8961.34,11598.6
B1AUR6,B1AUR6,MMS22_MOUSE,Mms22l,Protein MMS22-like,22259.4,,,25471.5,25400.4,27778.7,20426.4,
B1AVZ0,B1AVZ0,UPP_MOUSE,Uprt,Uracil phosphoribosyltransferase homolog,,3861.28,,,1357.39,,2647.19,3959.22
B1AXP6,B1AXP6,TOM5_MOUSE,Tomm5,Mitochondrial import receptor subunit TOM5 homolog,8925.5,8870.45,14418.2,8988.97,10706.4,12255.4,10029.8,15638.2
B1AY10,B1AY10,NFX1_MOUSE,Nfx1,Transcriptional repressor NF-X1,3504.89,1866.72,3022.36,3497.74,2447.43,3220.4,2255.38,
B1AZA5,B1AZA5,TM245_MOUSE,Tmem245,Transmembrane protein 245,31362.6,23310.6,26001,31585.7,23308.8,32424,30376.1,26114.4
B1AZI6,B1AZI6,THOC2_MOUSE,Thoc2,THO complex subunit 2,64004.1,70132.9,73284.1,65657.2,67213.6,78441.4,51662.9,63604.6
B1AZP2,B1AZP2,DLGP4_MOUSE,Dlgap4,Disks large-associated protein 4,10747.4,10634.9,5771.68,11078,9780.68,9353.96,7258.39,7058.95
B2RQA1,B2RQA1,KCA10_MOUSE,Kcna10,Potassium voltage-gated channel subfamily A member 10,,170014,170362,,150631,227849,109329,119871
B2RQC6;Q8C196,B2RQC6;Q8C196,CPSM_MOUSE;PYR1_MOUSE,Cad;Cps1,CAD protein,115796,87992.3,107234,128832,88698.8,101929,76939.5,107442
B2RQE8,B2RQE8,RHG42_MOUSE,Arhgap42,Rho GTPase-activating protein 42,12498.5,9257.37,9992.56,17269.6,13519.6,15151.1,14718.5,8809.28
B2RRE7,B2RRE7,OTUD4_MOUSE,Otud4,OTU domain-containing protein 4,6304.98,9270.04,10530.3,8071.61,9874.41,8594.04,11510.3,10612.1
B2RSH2,B2RSH2,GNAI1_MOUSE,Gnai1,Guanine nucleotide-binding protein G(i) subunit alpha-1,,,,,,,1062.82,2221.05
B2RSH2;P08752;P50149;Q6R0H7;Q9DC51,B2RSH2;P08752;P18872;P20612;P50149;P63094;Q3V3I2;Q6R0H7;Q8CGK7;Q9DC51,GNAI1_MOUSE;GNAI2_MOUSE;GNAI3_MOUSE;GNAS1_MOUSE;GNAT2_MOUSE,Gnai1;Gnai2;Gnai3;Gnas;Gnat2,Guanine nucleotide-binding protein G(i) subunit alpha-1,89026.2,,91381.7,110858,81360.1,73852.2,69583.1,97091.1
B2RSH2;P08752;Q9DC51,B2RSH2;P08752;Q9DC51,GNAI1_MOUSE;GNAI2_MOUSE;GNAI3_MOUSE,Gnai1;Gnai2;Gnai3,Guanine nucleotide-binding protein G(i) subunit alpha-1,14986.2,22446.1,16532.3,20942.2,23301.3,16396.1,19733.4,10645.7
B2RUR8;Q8R554,B2RUR8;Q8R554,OTU7A_MOUSE;OTU7B_MOUSE,Otud7a;Otud7b,OTU domain-containing protein 7B,2287.66,6440.84,,5009.94,971.792,,2228.2,4775.74
B2RVL6,B2RVL6,ZCH24_MOUSE,Zcchc24,Zinc finger CCHC domain-containing protein 24,6317.5,5817.57,9254.82,4675.57,7307.47,5365.72,8427.13,7793.01
B2RX12,B2RX12,MRP3_MOUSE,Abcc3,ATP-binding cassette sub-family C member 3,16542,15166.4,20036.9,16249.2,16732.8,14070.4,13434,18019.9
B2RX12;P70170,B2RX12;P70170,ABCC9_MOUSE;MRP3_MOUSE,Abcc3;Abcc9,ATP-binding cassette sub-family C member 3,10845.6,10691.7,8914.87,8763.88,8278.2,7715.47,5877.27,11932.3
B2RX14,B2RX14,TUT4_MOUSE,Tut4,Terminal uridylyltransferase 4,3106.88,5649.56,6326.26,6054.78,4188.84,4876.91,4275.92,9836.07
B2RX88;Q5PR69,B2RX88;Q5PR69,CRACD_MOUSE;CSPP1_MOUSE,Cracd;Cspp1,Centrosome and spindle pole associated protein 1,1051.35,,,,,,,
B2RXS4,B2RXS4,PLXB2_MOUSE,Plxnb2,Plexin-B2,21587.1,29061.7,27074,33993.6,25293.9,28871.9,25247.9,26306.6
B2RY56,B2RY56,RBM25_MOUSE,Rbm25,RNA-binding protein 25,5826.67,7312.11,9437.06,7850.2,6572.15,9808.4,5726.43,5594.42
B7ZCC9,B7ZCC9,AGRG4_MOUSE,Adgrg4,Adhesion G-protein coupled receptor G4,181574,112108,166099,119251,111895,116418,72248.7,175482
B7ZMP1,B7ZMP1,XPP3_MOUSE,Xpnpep3,Xaa-Pro aminopeptidase 3,10660.5,10821.1,8005.54,12130.9,12440.5,9014.21,10870.4,9916.78
B8JK39,B8JK39,ITA9_MOUSE,Itga9,Integrin alpha-9,7974.17,10790.6,16814.4,8198.19,9016.53,6938.3,5701.32,9813.7
B8ZXI1,B8ZXI1,QTRT2_MOUSE,Qtrt2,Queuine tRNA-ribosyltransferase accessory subunit 2,7487.77,7409.43,12026.3,9421.51,3184.44,2448.79,3982.14,12159.4
B9EKI3,B9EKI3,TMF1_MOUSE,Tmf1,TATA element modulatory factor,28967.3,25235.5,25268,30286.8,30387.1,30556.6,26907.3,29324.6
C0HKD8;C0HKD9,C0HKD8;C0HKD9,MFA1A_MOUSE;MFA1B_MOUSE,Mfap1a;Mfap1b,Microfibrillar-associated protein 1A,16449.2,7966.48,10398,13400.7,10588.7,10885.9,13291.8,10107.3
C0HKG5;C0HKG6,C0HKG5;C0HKG6,RNT2A_MOUSE;RNT2B_MOUSE,Rnaset2a;Rnaset2b,Ribonuclease T2-A,33161.4,42869.3,41642,34465.3,36968.2,24398.5,38540.3,27258.3
D3YVF0,D3YVF0,AKAP5_MOUSE,Akap5,A-kinase anchor protein 5,3296.55,1981.93,,,844.641,,,4113.79
D3YXK2,D3YXK2,SAFB1_MOUSE,Safb,Scaffold attachment factor B1,15760.6,21614,17025.8,14419,17206.4,14863,22881.6,18307.5
D3YXK2;Q80YR5,D3YXK2;Q80YR5,SAFB1_MOUSE;SAFB2_MOUSE,Safb;Safb2,Scaffold attachment factor B1,85018.3,100179,99586.7,98156.1,83753.7,83903.5,71767.7,86664.8
D3YZP9,D3YZP9,CCDC6_MOUSE,Ccdc6,Coiled-coil domain-containing protein 6,66636.9,71931.2,62201.4,68297,68491.6,63837.3,56792.4,62311.3
D3Z4S3,D3Z4S3,PTRD1_MOUSE,Ptrhd1,Putative peptidyl-tRNA hydrolase PTRHD1,6539.62,8834.97,6766.78,5828.11,7553.17,9794.88,5704.26,4076.46
D3Z5L6,D3Z5L6,S18B1_MOUSE,Slc18b1,MFS-type transporter SLC18B1,,2180.39,1298.85,2937.25,3437.72,2631.23,3413.7,3913.88
D3Z6Q9,D3Z6Q9,BIN2_MOUSE,Bin2,Bridging integrator 2,3804.85,4823.11,,7639.48,4485.75,4711.48,5463.6,720.884
D3Z6Q9;O08539,O08539;Q7TQF7;D3Z6Q9,BIN1_MOUSE;BIN2_MOUSE,Bin1;Bin2,Bridging integrator 2,,17327.3,,11691.8,9407.43,13772.9,9089.22,3462.1
E9PUL5,E9PUL5,PRRT2_MOUSE,Prrt2,Proline-rich transmembrane protein 2,9973.64,,2282.33,7430.79,,13533.1,7029.7,11632.2
E9PV24,E9PV24,FIBA_MOUSE,Fga,Fibrinogen alpha chain,40611,45317.9,42000.2,55755.3,56356.8,60215.4,69932.3,45969.4
E9PW74,E9PW74,GIMD1_MOUSE,Gimd1,GTPase IMAP family member GIMD1,5278.72,3386.29,2379.13,5499.77,4729.35,6016.77,4368.9,4130.04
E9PXX9;O88627,E9PXX9;O88627,S28A1_MOUSE;S28A2_MOUSE,Slc28a1;Slc28a2,Sodium/nucleoside cotransporter 1,6659.07,,6263.5,,7663.17,7997.52,,3266.53
E9PYK3,E9PYK3,PARP4_MOUSE,Parp4,Protein mono-ADP-ribosyltransferase PARP4,14848.2,14680,17674.1,15461.2,16239.1,15241.9,15490.6,16110.2
E9PYL2,E9PYL2,PRR12_MOUSE,Prr12,Proline-rich protein 12,,8783.77,9987.04,9762.67,13188.4,22034.6,21345.7,15780.3
E9PZJ8,E9PZJ8,ASCC3_MOUSE,Ascc3,Activating signal cointegrator 1 complex subunit 3,2936.28,,,2286.38,3389.77,,2709.66,
E9PZM4,E9PZM4,CHD2_MOUSE,Chd2,Chromodomain-helicase-DNA-binding protein 2,,,,6967.29,3041.84,5897.15,4101.55,
E9Q0S6,E9Q0S6,TENS1_MOUSE,Tns1,Tensin-1,5148.62,8329.04,6669.58,7074.16,7319.72,6057.38,7658.25,6785.89
E9Q137,E9Q137,TX264_MOUSE,Tex264,Testis-expressed protein 264 homolog,103926,93115.9,92996.2,100494,115379,100027,109303,104721
E9Q1P8,E9Q1P8,I2BP2_MOUSE,Irf2bp2,Interferon regulatory factor 2-binding protein 2,3526.83,7498.03,9329.85,7744.33,7513.58,8877.38,7425.01,6025.58
E9Q309,E9Q309,CE350_MOUSE,Cep350,Centrosome-associated protein 350,1.00E+06,432029,935533,598749,592314,435666,414481,1.05E+06
E9Q394,E9Q394,AKP13_MOUSE,Akap13,A-kinase anchor protein 13,15044.8,17020,16513.1,14436.9,13592.7,16257.3,14934.4,15999.4
E9Q3C1,E9Q3C1,C2CD2_MOUSE,C2cd2,C2 domain-containing protein 2,9032.33,7912.89,10754.1,16146.8,13603.8,11563.6,12769.2,8899.45
E9Q3L2,E9Q3L2,PI4KA_MOUSE,Pi4ka,Phosphatidylinositol 4-kinase alpha,4081.67,3865.22,6794.7,2568.17,3142.12,5748.9,3651.53,
E9Q414,E9Q414,APOB_MOUSE,Apob,Apolipoprotein B-100,372514,393436,361376,389250,428622,401326,388602,357373
E9Q4N7,E9Q4N7,ARI1B_MOUSE,Arid1b,AT-rich interactive domain-containing protein 1B,14860.2,22679.5,29221.8,22217.8,15350.4,12814.2,16222.5,12519.6
E9Q4P1,E9Q4P1,WDFY1_MOUSE,Wdfy1,WD repeat and FYVE domain-containing protein 1,9548.85,4632.19,16319,5336.46,5382.77,7852.44,7866.28,7672.46
E9Q555,E9Q555,RN213_MOUSE,Rnf213,E3 ubiquitin-protein ligase RNF213,10514.7,12423.7,10004.3,10342.8,11789.4,8007.89,9648.08,13876.3
E9Q557,E9Q557,DESP_MOUSE,Dsp,Desmoplakin,8148.76,6979.13,,7194.48,6134.95,7639.65,5366.93,4230.17
E9Q5C9,E9Q5C9,NOLC1_MOUSE,Nolc1,Nucleolar and coiled-body phosphoprotein 1,128061,139051,130373,128849,151375,141131,129252,142307
E9Q5F9,E9Q5F9,SETD2_MOUSE,Setd2,Histone-lysine N-methyltransferase SETD2,1688.13,2183.18,,1110.03,1562.02,1027.29,2880.51,
E9Q5K4,E9Q5K4,CP2CN_MOUSE,Cyp2c23,Cytochrome P450 2C44,182091,167708,160893,175249,175043,155738,191437,219865
E9Q5K4;Q6XVG2;Q91W64;Q91X77,E9Q5K4;Q6XVG2;Q91X77;Q91W64,CP254_MOUSE;CP270_MOUSE;CP2CN_MOUSE;CY250_MOUSE,Cyp2c23;Cyp2c50;Cyp2c54;Cyp2c70,Cytochrome P450 2C44,2.59E+06,3.15E+06,2.93E+06,2.12E+06,2.24E+06,2.54E+06,2.47E+06,2.88E+06
E9Q634,E9Q634,MYO1E_MOUSE,Myo1e,Unconventional myosin-Ie,22306.6,28929.2,21180.1,21748,28214.7,28131,25772.3,18030.2
E9Q6J5,E9Q6J5,BD1L1_MOUSE,Bod1l,Biorientation of chromosomes in cell division protein 1-like 1,18619.7,14110.9,19365,16082.5,14917.9,15232.1,15094.2,19707.4
E9Q784,E9Q784,ZC3HD_MOUSE,Zc3h13,Zinc finger CCCH domain-containing protein 13,8863.39,10860.8,10909.4,11388.9,10533.3,11484.5,8682.11,14740.7
E9Q7D5,E9Q7D5,ARHG5_MOUSE,Arhgef5,Rho guanine nucleotide exchange factor 5,7130.31,3128.38,3903.19,4986.62,5161.92,5618.1,4420.64,2041.65
E9Q7G0,E9Q7G0,NUMA1_MOUSE,Numa1,Nuclear mitotic apparatus protein 1,17196.8,18507.1,20814.1,21198.9,16160.6,17974.9,17292.6,19635
E9Q7M2,E9Q7M2,T22D2_MOUSE,Tsc22d2,TSC22 domain family protein 2,11455.5,11538.1,7633.98,17999.4,12048.4,11905.8,7974.36,7960.95
E9Q7X6,E9Q7X6,HEG1_MOUSE,Heg1,Protein HEG homolog 1,,,,2767.93,2168.22,,918.547,
E9Q8D0,E9Q8D0,DJC21_MOUSE,Dnajc21,DnaJ homolog subfamily C member 21,,1095.01,2258.63,2372.81,1558.4,663.659,2371.59,1645.13
E9Q912,E9Q912,GDS1_MOUSE,Rap1gds1,Rap1 GTPase-GDP dissociation stimulator 1,11730.1,16234.7,16097.5,12151.9,13280.5,12879.6,13092.7,12587.1
E9QAT4,E9QAT4,SC16A_MOUSE,Sec16a,Protein transport protein Sec16A,56642.8,57204.6,50998.3,50228.9,53184.9,51017,44799.7,44630.5
F6ZDS4,F6ZDS4,TPR_MOUSE,Tpr,Nucleoprotein TPR,72465.1,69370.8,81180.4,74459.8,80366.3,68435.4,68270.2,72058.7
F7BJB9,F7BJB9,MORC3_MOUSE,Morc3,MORC family CW-type zinc finger protein 3,2375.41,,,,1603.77,,,2273.23
F8VPQ2,F8VPQ2,ARI4A_MOUSE,Arid4a,AT-rich interactive domain-containing protein 4A,6353.37,4729.13,3306.58,5350.37,4211.03,3212.16,2983.94,5665.54
G3X982,G3X982,AOXC_MOUSE,Aox3,Aldehyde oxidase 3,379843,373415,387671,376517,444270,324642,425143,384408
G3X982;O54754,G3X982;O54754,AOXA_MOUSE;AOXC_MOUSE,Aox1;Aox3,Aldehyde oxidase 3,,4437.36,,,4035.26,5153.13,3893.32,
G3X982;Q00519,G3X982;Q00519;Q3TYQ9,AOXC_MOUSE;XDH_MOUSE,Aox3;Xdh,Aldehyde oxidase 3,1.12E+06,910386,818153,1.04E+06,783275,822215,800537,1.09E+06
G3X9K3,A2A5R2;G3X9K3,BIG1_MOUSE,Arfgef1,Brefeldin A-inhibited guanine nucleotide-exchange protein 1,8751.85,11733.6,8793.3,11109.4,6874.53,9872.93,5134.63,10280.6
G3X9Z4,G3X9Z4,PCF11_MOUSE,Pcf11,Pre-mRNA cleavage complex 2 protein Pcf11,4285.02,4072.5,7856.08,7807.58,7857.28,5505.38,6585.18,10058.4
G5E829,G5E829,AT2B1_MOUSE,Atp2b1,Plasma membrane calcium-transporting ATPase 1,23139.1,26639.6,30087.8,27983.1,31976.6,27048.8,25346.4,22511.3
G5E829;Q6Q477,G5E829;Q6Q477;Q9R0K7,AT2B1_MOUSE;AT2B4_MOUSE,Atp2b1;Atp2b4,Plasma membrane calcium-transporting ATPase 1,13377.5,14002.2,12461.7,13485.7,11735.7,10795.3,9734.59,13931.3
G5E870,G5E870,TRIPC_MOUSE,Trip12,E3 ubiquitin-protein ligase TRIP12,23105.4,18872.4,27749.2,21520.5,17941.4,25614.8,19375,24189.1
