Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,Y:\11_Astral_Stitch\250625_Stitch_S4612_IB_PISA_liver_stauros_treat_rep4_R1.raw,Y:\11_Astral_Stitch\250625_Stitch_S4612_IB_PISA_liver_stauros_control_rep4_R1.raw,Y:\11_Astral_Stitch\250625_Stitch_S4612_IB_PISA_liver_stauros_treat_rep3_R1.raw,Y:\11_Astral_Stitch\250625_Stitch_S4612_IB_PISA_liver_stauros_control_rep3_R1.raw,Y:\11_Astral_Stitch\250625_Stitch_S4612_IB_PISA_liver_stauros_treat_rep2_R1.raw,Y:\11_Astral_Stitch\250625_Stitch_S4612_IB_PISA_liver_stauros_control_rep2_R1.raw,Y:\11_Astral_Stitch\250625_Stitch_S4612_IB_PISA_liver_stauros_treat_rep1_R1.raw,Y:\11_Astral_Stitch\250625_Stitch_S4612_IB_PISA_liver_stauros_control_rep1_R1.raw
B7ZCC9,B7ZCC9,AGRG4_MOUSE,Adgrg4,Adhesion G-protein coupled receptor G4,303350,439992,468248,268059,268382,371120,279598,233557
B7ZMP1,B7ZMP1,XPP3_MOUSE,Xpnpep3,Xaa-Pro aminopeptidase 3,92334.6,115541,118356,114858,112924,101508,112473,119002
B8JK39,B8JK39,ITA9_MOUSE,Itga9,Integrin alpha-9,93284.3,79208.9,90396.2,84826.7,79833.2,91388.8,91589.7,98012.1
B8ZXI1,B8ZXI1,QTRT2_MOUSE,Qtrt2,Queuine tRNA-ribosyltransferase accessory subunit 2,74569.2,65383,56464.2,64712.3,58871.8,63328.6,58467.5,59270
B9EKI3,B9EKI3,TMF1_MOUSE,Tmf1,TATA element modulatory factor,68478.7,67132.1,67066,70930.3,74726.8,76002.6,74129.9,72555
C0HKD8;C0HKD9,C0HKD8;C0HKD9,MFA1A_MOUSE;MFA1B_MOUSE,Mfap1a;Mfap1b,Microfibrillar-associated protein 1A,28368,18970.8,15455.1,37149.2,32027.9,18884.1,24349.8,27506.4
C0HKG5;C0HKG6,C0HKG5;C0HKG6,RNT2A_MOUSE;RNT2B_MOUSE,Rnaset2a;Rnaset2b,Ribonuclease T2-A,219528,212107,179009,101116,179209,198511,347046,508198
C8YR32,C8YR32,LOXH1_MOUSE,Loxhd1,Lipoxygenase homology domain-containing protein 1,,,,1.02E+06,996802,,,
D0QMC3,D0QMC3,MNDAL_MOUSE,Mndal,Myeloid cell nuclear differentiation antigen-like protein,3163.3,,,,,,,2456.43
D3YXK2,D3YXK2,SAFB1_MOUSE,Safb,Scaffold attachment factor B1,284429,286654,308265,304371,339388,300627,305376,339173
D3YZF7,D3YZF7,VS10L_MOUSE,Vsig10l,V-set and immunoglobulin domain-containing protein 10-like,1873.42,,,37624.4,,,,
D3YZP9,D3YZP9,CCDC6_MOUSE,Ccdc6,Coiled-coil domain-containing protein 6,188858,187115,226834,197939,208738,188299,202740,211811
D3Z1D3,D3Z1D3,CEFIP_MOUSE,CEFIP,Cardiac-enriched FHL2-interacting protein,24930.4,51074.1,57969.1,,,38664.1,,
D3Z4S3,D3Z4S3,PTRD1_MOUSE,Ptrhd1,Putative peptidyl-tRNA hydrolase PTRHD1,23980.8,19443.9,29017.4,22618.7,20303.9,13722.6,25222.8,32474.9
D3Z5L6,D3Z5L6,S18B1_MOUSE,Slc18b1,MFS-type transporter SLC18B1,7731.81,5025.03,4670.67,10547.5,11061.5,8885.96,10933.6,7325.31
D3Z6P0,D3Z6P0,PDIA2_MOUSE,Pdia2,Protein disulfide-isomerase A2,17755.2,14454.9,,16801.6,,13358.1,16804,18488.6
D3Z6Q9,D3Z6Q9,BIN2_MOUSE,Bin2,Bridging integrator 2,37280.5,31590.4,38976.8,35979.6,39715.6,52029,41536.5,49451.3
E0CZ16,E0CZ16,KLHL3_MOUSE,Klhl3,Kelch-like protein 3,12677.3,,17039.8,33952.8,13257.6,14620.6,11615.5,9292.98
E9PUL5,E9PUL5,PRRT2_MOUSE,Prrt2,Proline-rich transmembrane protein 2,107110,,103979,95061.8,105858,88188.8,38351,28556.4
E9PV24,E9PV24,FIBA_MOUSE,Fga,Fibrinogen alpha chain,273124,241976,208525,255896,258827,269602,333179,383171
E9PV82,E9PV82,FA53A_MOUSE,Fam53a,Protein FAM53A,,99221.6,56794.7,70858.2,,89048.4,,
E9PVA8,E9PVA8,GCN1_MOUSE,Gcn1,Stalled ribosome sensor GCN1,23952.4,21823.2,13642.3,20322.5,16233.1,26142.8,19769,23099.4
E9PVB5,E9PVB5,TTC17_MOUSE,Ttc17,Tetratricopeptide repeat protein 17,48867.3,54201.8,50139.1,67923.3,60079.9,55536.2,43588.7,47385.8
E9PW74,E9PW74,GIMD1_MOUSE,Gimd1,GTPase IMAP family member GIMD1,10284.8,,13952.8,15509.1,13589.3,13189.7,4395.95,15486.8
E9PXX9;O88627,E9PXX9;O88627,S28A1_MOUSE;S28A2_MOUSE,Slc28a1;Slc28a2,Sodium/nucleoside cotransporter 1,,,,31405.5,,16610.4,25742.1,29301.7
E9PYH6,E9PYH6,SET1A_MOUSE,Setd1a,Histone-lysine N-methyltransferase SETD1A,,,,,,16995,,7308.65
E9PYK3,E9PYK3,PARP4_MOUSE,Parp4,Protein mono-ADP-ribosyltransferase PARP4,76375.9,82097.7,85624.6,72992,83998.7,70501.3,89612.2,88117.5
E9PYL2,E9PYL2,PRR12_MOUSE,Prr12,Proline-rich protein 12,88975.6,,88692.7,61777.4,79657.6,82520.1,91200.1,99341.9
E9PZM4,E9PZM4,CHD2_MOUSE,Chd2,Chromodomain-helicase-DNA-binding protein 2,21216.3,25445.4,,32075.2,26793.4,31675.6,15412.9,23939.8
E9Q0S6,E9Q0S6,TENS1_MOUSE,Tns1,Tensin-1,85303.5,85564.3,75638.1,68104.6,74210.3,87091.9,74384.7,86076.9
E9Q137,E9Q137,TX264_MOUSE,Tex264,Testis-expressed protein 264 homolog,472890,453070,454414,524421,527057,387037,661121,633044
E9Q1P8,E9Q1P8,I2BP2_MOUSE,Irf2bp2,Interferon regulatory factor 2-binding protein 2,49418.2,31487.8,32749.9,40071.3,31016.2,32829.9,44268.9,43862
E9Q309,E9Q309,CE350_MOUSE,Cep350,Centrosome-associated protein 350,1.84E+06,2.47E+06,1.19E+06,1.91E+06,1.28E+06,2.35E+06,1.72E+06,1.96E+06
E9Q394,E9Q394,AKP13_MOUSE,Akap13,A-kinase anchor protein 13,52270.1,55965.9,53612.5,56806.8,49536.7,49136.4,46864.1,50351.7
E9Q3C1,E9Q3C1,C2CD2_MOUSE,C2cd2,C2 domain-containing protein 2,100005,116932,116772,105075,81660.2,87485.3,63098.7,63168.5
E9Q3L2,E9Q3L2,PI4KA_MOUSE,Pi4ka,Phosphatidylinositol 4-kinase alpha,301882,314146,257061,334763,310430,382758,322136,310325
E9Q414,E9Q414,APOB_MOUSE,Apob,Apolipoprotein B-100,1.56E+06,1.56E+06,1.71E+06,1.70E+06,1.70E+06,1.68E+06,1.68E+06,1.70E+06
E9Q4F7,E9Q4F7,ANR11_MOUSE,Ankrd11,Ankyrin repeat domain-containing protein 11,4074.48,,,,8257.63,,5265.42,3930.06
E9Q4N7,E9Q4N7,ARI1B_MOUSE,Arid1b,AT-rich interactive domain-containing protein 1B,85352.6,79049,96435.7,85788.8,83017.7,88637.2,75959,76264.5
E9Q4P1,E9Q4P1,WDFY1_MOUSE,Wdfy1,WD repeat and FYVE domain-containing protein 1,61418.5,54076.4,57587.2,51992.1,46426,58517.3,76493.1,80216.3
E9Q4Z2,E9Q4Z2,ACACB_MOUSE,Acacb,Acetyl-CoA carboxylase 2,39266.6,35783.6,19255.3,33882.4,27573.9,37464.7,32166.2,32063.9
E9Q555,E9Q555,RN213_MOUSE,Rnf213,E3 ubiquitin-protein ligase RNF213,100612,78416.3,89783.6,87245.3,89750.2,111742,75225,107006
E9Q557,E9Q557,DESP_MOUSE,Dsp,Desmoplakin,97278.6,26055.9,58466.7,105276,83570.7,97740.2,45151.2,100493
E9Q5C9,E9Q5C9,NOLC1_MOUSE,Nolc1,Nucleolar and coiled-body phosphoprotein 1,514017,526288,526045,532614,522384,514547,488974,523073
E9Q5F9,E9Q5F9,SETD2_MOUSE,Setd2,Histone-lysine N-methyltransferase SETD2,12971.4,12853.3,15423.7,11341.3,14105.6,12981.8,10333.5,8187.43
E9Q5K4,E9Q5K4,CP2CN_MOUSE,Cyp2c23,Cytochrome P450 2C44,1.96E+06,2.04E+06,1.89E+06,2.08E+06,2.14E+06,2.12E+06,2.19E+06,2.49E+06
E9Q634,E9Q634,MYO1E_MOUSE,Myo1e,Unconventional myosin-Ie,110379,107131,136239,122924,136180,150715,110993,109286
E9Q6B2,E9Q6B2,CC85C_MOUSE,Ccdc85c,Coiled-coil domain-containing protein 85C,11758.6,,,,12707.3,,8200.2,
E9Q6J5,E9Q6J5,BD1L1_MOUSE,Bod1l,Biorientation of chromosomes in cell division protein 1-like 1,50631.5,49435.1,50891.1,52441.7,52739,49896.2,43060.3,49696.6
E9Q735,E9Q735,UBE4A_MOUSE,Ube4a,Ubiquitin conjugation factor E4 A,,,,,,,6043.42,2903.27
E9Q784,E9Q784,ZC3HD_MOUSE,Zc3h13,Zinc finger CCCH domain-containing protein 13,11332.4,9817.04,,8065.29,11420.6,6091.24,10236.4,16382.5
E9Q7D5,E9Q7D5,ARHG5_MOUSE,Arhgef5,Rho guanine nucleotide exchange factor 5,19169.2,19843.9,,12875.6,14920.7,19611.4,16439.1,19659.8
E9Q7E2,E9Q7E2,ARID2_MOUSE,Arid2,AT-rich interactive domain-containing protein 2,,,,,22277.9,,15073,14378.9
E9Q7F2,E9Q7F2,RN169_MOUSE,Rnf169,E3 ubiquitin-protein ligase RNF169,,,,162498,,8710.77,35497.2,34287.1
E9Q7G0,E9Q7G0,NUMA1_MOUSE,Numa1,Nuclear mitotic apparatus protein 1,150716,167784,135621,154038,147278,157506,137173,147612
E9Q7M2,E9Q7M2,T22D2_MOUSE,Tsc22d2,TSC22 domain family protein 2,22317.2,33376.4,,25484.6,19242,17791.4,23509,28931.1
