Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,/nextflow_runs/work/7d/08d2783d1084814af8165d1e2d97c1/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep2_R1.mzML,/nextflow_runs/work/28/9bec088bcb7fb3843db5f7c46e0085/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep4_R1.mzML,/nextflow_runs/work/0d/46a1e273674bf39ac22939255c5c1b/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep3_R1.mzML,/nextflow_runs/work/51/3e8009125250b1475b98133587a8a2/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep3_R1.mzML,/nextflow_runs/work/bc/68df10861519f9d6dc989ed6e132e5/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep1_R1.mzML,/nextflow_runs/work/c9/ab0965fec1300baecf563186c1a3bd/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep1_R1.mzML,/nextflow_runs/work/e5/8aeba0633abd65fc9dc44170acd0ec/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep2_R1.mzML,/nextflow_runs/work/7d/d93e795d31ba4e43bd910b97384596/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep4_R1.mzML
A2A3V1,A2A3V1,AK17B_MOUSE,Akap17b,A-kinase anchor protein 17B,38791.7,39783.6,41748.8,40856.1,46679.1,38000.6,50387.1,35700.8
A2A432,A2A432,CUL4B_MOUSE,Cul4b,Cullin-4B,24845.4,26584.8,24896.8,29758.5,22269.9,19770.1,23584.6,20458.8
A2A432;Q3TCH7,A2A432;Q3TCH7,CUL4A_MOUSE;CUL4B_MOUSE,Cul4a;Cul4b,Cullin-4B,46693.2,62601.1,65187.9,55476.2,52057.1,55349.1,50502.2,59594.4
A2A5R2,A2A5R2,BIG2_MOUSE,Arfgef2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,66354.9,89544.2,73261.3,73856,60526.5,59318.8,68614.2,77129.3
A2A5R2;G3X9K3,A2A5R2;G3X9K3,BIG1_MOUSE;BIG2_MOUSE,Arfgef1;Arfgef2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,43553.8,51438.3,46417.4,50196.8,39294.3,51667.9,44117.7,43015.3
A2A6A1,A2A6A1,GPTC8_MOUSE,Gpatch8,G patch domain-containing protein 8,26383,20905.7,18102.8,27762.4,23419,20176.9,21179.6,26882.4
A2A6H3,A2A6H3,FBX47_MOUSE,Fbxo47,F-box only protein 47,59620,65656,55604.5,66087.9,50134.5,31492.3,45358.7,65001.6
A2A7S8,A2A7S8,K1522_MOUSE,Kiaa1522,Uncharacterized protein KIAA1522,59729.4,62185.2,66350.3,61584.1,69819.2,64446.7,63077.1,64021
A2A8L5,A2A8L5,PTPRF_MOUSE,Ptprf,Receptor-type tyrosine-protein phosphatase F,41551.7,52439.2,52957.3,53799.8,51241.2,42773.3,56424.1,49389.4
A2A8L5;Q64487,A2A8L5;Q64487,PTPRD_MOUSE;PTPRF_MOUSE,Ptprd;Ptprf,Receptor-type tyrosine-protein phosphatase F,75770.2,75609,74964.9,74373.5,76829.9,75183.2,71081.1,73502.5
A2A8Z1,A2A8Z1,OSBL9_MOUSE,Osbpl9,Oxysterol-binding protein-related protein 9,,5784.82,6981.97,10984.8,,5477.01,14484.3,5371.12
A2ADY9,A2ADY9,DDI2_MOUSE,Ddi2,Protein DDI1 homolog 2,620869,638011,608664,577373,684862,589003,710777,594902
A2ADY9;Q9DAF3,A2ADY9;Q9DAF3,DDI1_MOUSE;DDI2_MOUSE,Ddi1;Ddi2,Protein DDI1 homolog 2,83659.6,128718,160657,98962.3,149352,200587,115212,140097
A2AEP0,A2AEP0,OBP1B_MOUSE,Obp1b,Odorant-binding protein 1b,6286.2,11045.6,12829,14082.1,6795.8,3274.81,9705.64,8208.39
A2AEV7,A2AEV7,CC120_MOUSE,Ccdc120,Coiled-coil domain-containing protein 120,,41363.2,28909.1,50927.5,27442.9,27660.1,26355.1,43089.2
A2AGT5,A2AGT5,CKAP5_MOUSE,Ckap5,Cytoskeleton-associated protein 5,8522.44,6007.43,8232.29,6840.93,7827.95,8453.63,5826.21,7933.96
A2AHC3,A2AHC3,CAMP1_MOUSE,Camsap1,Calmodulin-regulated spectrin-associated protein 1,10518.7,9361.39,10596.1,10163.4,8402.97,6504.27,8553.34,10942.1
A2AIG8,A2AIG8,1A1L1_MOUSE,Accs,1-aminocyclopropane-1-carboxylate synthase-like protein 1,12893.3,16098.6,10565.2,20028.2,14662.8,13241.7,11274.7,12643.1
A2AIL4,A2AIL4,NDUF6_MOUSE,Ndufaf6,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6",37977.6,25082.7,43339,43602.2,41753.9,25840.7,37575.1,36707.4
A2AJ15,A2AJ15,MA1B1_MOUSE,Man1b1,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",6162.32,7350.02,8062.94,10471.1,8953.45,10234,9798.1,9877.85
A2AJ88,A2AJ88,PLPL7_MOUSE,Pnpla7,Patatin-like phospholipase domain-containing protein 7,14337.5,19924.7,15485.3,14334,15613.1,14623.6,16077.5,12701.6
A2AJB2,A2AJB2,TM141_MOUSE,Tmem141,Transmembrane protein 141,16789.7,16334.6,17689.3,16329.4,16912.4,14182,12947.5,16133.9
A2AJI0,A2AJI0,MA7D1_MOUSE,Map7d1,MAP7 domain-containing protein 1,20678.4,22334.3,17640.8,25158.2,21054.6,20644.5,20201.8,20581.1
A2AJL3,A2AJL3,FGGY_MOUSE,Fggy,FGGY carbohydrate kinase domain-containing protein,644427,900496,1.06E+06,862497,1.05E+06,1.02E+06,1.11E+06,968916
A2AJQ3,A2AJQ3,D19L4_MOUSE,Dpy19l4,Probable C-mannosyltransferase DPY19L4,,10913,6068.65,,,4446.6,9850.14,7396
A2AJT4,A2AJT4,PNISR_MOUSE,Pnisr,Arginine/serine-rich protein PNISR,9176.55,5561.51,6038.3,7114.93,7977.21,7800.96,7855.06,8552.49
A2AKB9,A2AKB9,DCA10_MOUSE,Dcaf10,DDB1- and CUL4-associated factor 10,,7252.49,12331.6,13788.7,11971.6,,9366.04,10252
A2AKG8,A2AKG8,FOCAD_MOUSE,Focad,Focadhesin,,,3722.86,5333.31,3724.36,3381.11,3775.79,2880.69
A2AKK5,A2AKK5,ACNT1_MOUSE,Acnat1,Acyl-coenzyme A amino acid N-acyltransferase 1,23438,34218.4,46237.6,29459.9,35260.3,37843,32676.6,43268.6
A2AKK5;Q8BGG9,A2AKK5;Q8BGG9,ACNT1_MOUSE;ACNT2_MOUSE,Acnat1;Acnat2,Acyl-coenzyme A amino acid N-acyltransferase 1,238705,254961,210100,259528,234713,201098,213448,222588
A2AKQ0,A2AKQ0,S35D1_MOUSE,Slc35d1,Nucleotide sugar transporter SLC35D1,48355.4,72650.6,84190.8,81881.4,90119.6,103518,92599.3,100714
A2ALU4,A2ALU4,SHRM2_MOUSE,Shroom2,Protein Shroom2,44182.3,48036,45838.8,49078.2,48698.6,46505.8,46368.2,47290.9
A2ALW5,A2ALW5,DJC25_MOUSE,Dnajc25,DnaJ homolog subfamily C member 25,7742.33,15552.6,11669.8,15739.5,9473.39,8246.7,9555.51,13937.5
A2AMZ4,A2AMZ4,NDUF8_MOUSE,Ndufaf8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8,8516.04,7444.39,6035.52,8485.77,6948.82,5417.88,7204.33,5871.67
A2AN08,A2AN08,UBR4_MOUSE,Ubr4,E3 ubiquitin-protein ligase UBR4,18966.3,20422.6,21590.4,21060.3,20190.5,23317.3,20725.8,19945.4
A2APT9,A2APT9,KLD7A_MOUSE,Klhdc7a,Kelch domain-containing protein 7A,36876.5,38303.7,35308.4,32610,33480.3,29270.1,33261.1,31792.8
A2APV2,A2APV2,FMNL2_MOUSE,Fmnl2,Formin-like protein 2,44174.6,112073,111469,83109.7,71170.1,70425.8,83754.7,128272
A2APY7,A2APY7,NDUF5_MOUSE,Ndufaf5,"Arginine-hydroxylase NDUFAF5, mitochondrial",18689.1,14204.4,11743.4,14677.8,15227.4,10529,13730.8,14433.6
A2AQ19,A2AQ19,RTF1_MOUSE,Rtf1,RNA polymerase-associated protein RTF1 homolog,54032.4,57642.9,52300.9,51452.2,52447.6,43206.9,52325.9,48447.9
A2AQ25,A2AQ25,SKT_MOUSE,Skt,Sickle tail protein,37226,38379,33901.5,38377.5,44195,28422.9,33022.7,33422.6
A2AR02,A2AR02,PPIG_MOUSE,Ppig,Peptidyl-prolyl cis-trans isomerase G,17368.9,14054.6,16937.5,13436.9,19990.1,12972.3,16365.7,19090.6
A2ARA8,A2ARA8,ITA8_MOUSE,Itga8,Integrin alpha-8,21019.3,20983.1,25931.2,21517.2,17089.6,21513.8,22534.9,26752.8
A2ARI4,A2ARI4,LGR4_MOUSE,Lgr4,Leucine-rich repeat-containing G-protein coupled receptor 4,5163.07,3990.59,6593.59,4596.67,4796.56,3209.11,,5553.17
A2ARZ3,A2ARZ3,FSIP2_MOUSE,Fsip2,Fibrous sheath-interacting protein 2,194177,188502,160315,198318,118486,82800.7,111036,135696
A2AS89,A2AS89,GDAH_MOUSE,Agmat,"Guanidino acid hydrolase, mitochondrial",387099,382927,320886,370965,345281,302403,313224,334300
A2ASQ1,A2ASQ1,AGRIN_MOUSE,Agrn,Agrin,14251.7,22382.2,16635.4,17513.2,21603.6,13319.3,19095,22795.4
A2ASZ8,A2ASZ8,SCMC2_MOUSE,Slc25a25,Mitochondrial adenyl nucleotide antiporter SLC25A25,158095,131199,149953,147226,160011,144096,154077,132620
A2AT37;A2AU72,A2AT37;A2AU72,ARMC3_MOUSE;RENT2_MOUSE,Armc3;Upf2,Regulator of nonsense transcripts 2,,,,,14401.8,,,
A2ATU0,A2ATU0,DHTK1_MOUSE,Dhtkd1,2-oxoadipate dehydrogenase complex component E1,104788,166110,167243,148034,157384,177404,177904,178010
A2AVR2,A2AVR2,MROH7_MOUSE,Mroh7,Maestro heat-like repeat-containing protein family member 7,22500.3,38818.5,33436.6,35531.6,28646,29295,32175.5,35962.2
A2AWA9,A2AWA9,RBGP1_MOUSE,Rabgap1,Rab GTPase-activating protein 1,44524.3,42566.8,38441.8,39361,40259,34686.4,41874.2,42057.7
A2AWP8,A2AWP8,ARGAL_MOUSE,Arhgef10l,Rho guanine nucleotide exchange factor 10-like protein,7427.77,8127.78,8201.29,3405.17,7845.57,6800.58,7406.42,7209.08
A2AWR3,A2AWR3,LYCHS_MOUSE,Gpr155,Lysosomal cholesterol signaling protein,44207.8,39953.7,37718.6,51885.8,42600.5,30723.6,39037.7,31606.3
A2BDX3,A2BDX3,MOCS3_MOUSE,Mocs3,Adenylyltransferase and sulfurtransferase MOCS3,11206.4,9598.49,8242.56,11935.2,14229.8,9831.68,11527.2,13057.6
A2BH40,A2BH40,ARI1A_MOUSE,Arid1a,AT-rich interactive domain-containing protein 1A,25921.1,20043,18145.8,21420.4,23588.8,18779,18810.4,22457.2
A2BH40;E9Q4N7,A2BH40;E9Q4N7,ARI1A_MOUSE;ARI1B_MOUSE,Arid1a;Arid1b,AT-rich interactive domain-containing protein 1A,,6768.06,6496.61,13617.1,7742.41,4328.6,8457.04,11574.5
A2BIM8;P02762;P04938,P02762;P04938;P11588;P11589;B5X0G2;A2BIM8,MUP11_MOUSE;MUP18_MOUSE;MUP6_MOUSE,Mup11;Mup18;Mup6,Major urinary protein 18,104471,103124,88264.8,85691.6,109303,101900,92937.6,93941.6
A2CG49,A2CG49,KALRN_MOUSE,Kalrn,Kalirin,14545.9,10513,18334.6,15332.1,15967.6,10413,16047.9,17197.9
A2RSJ4,A2RSJ4,BLT3B_MOUSE,Bltp3b,Bridge-like lipid transfer protein family member 3B,34527.7,37946.9,37370.8,35458.7,41290.9,34650.8,38272.8,34736.1
A2RSX7,A2RSX7,TYW5_MOUSE,Tyw5,tRNA wybutosine-synthesizing protein 5,,5360.96,4263.88,3711.58,,6491.31,7316.35,3952.5
A2RSY6,A2RSY6,TRM1L_MOUSE,Trmt1l,TRMT1-like protein,10360.7,11719.1,15873.6,15430.1,12771.6,16589.3,10473.7,12013.5
A2RTL5,A2RTL5,RSRC2_MOUSE,Rsrc2,Arginine/serine-rich coiled-coil protein 2,23895.4,21568.6,27211.4,18643.9,17858.5,19151.1,18943,21631.4
A3KGB4,A3KGB4,TBC8B_MOUSE,Tbc1d8b,TBC1 domain family member 8B,14294.8,15314.5,16788.4,15438,16448.1,17065.2,18570.5,14762.4
A3KGF9;Q8VC31,A3KGF9;Q8VC31,CCD9B_MOUSE;CCDC9_MOUSE,Ccdc9;Ccdc9b,Coiled-coil domain-containing protein 9B,17231.9,18453.4,10204.7,15510,13295.2,16255.8,18477.2,15072.6
A3KGS3,A3KGS3,RGPA2_MOUSE,Ralgapa2,Ral GTPase-activating protein subunit alpha-2,,4149.89,4417.36,4913.2,4307.99,2664.33,3375.02,4919.33
A3KGS3;P61255,A3KGS3;P61255,RGPA2_MOUSE;RL26_MOUSE,Ralgapa2;Rpl26,Ral GTPase-activating protein subunit alpha-2,,4166.82,,,,,,6875.78
A3KGV1,A3KGV1,ODFP2_MOUSE,Odf2,Outer dense fiber protein 2,94339.1,70018.7,90733,113177,63085.8,84716.9,72559.7,64257.1
A3KMP2,A3KMP2,TTC38_MOUSE,Ttc38,Tetratricopeptide repeat protein 38,1.12E+06,1.26E+06,1.19E+06,1.22E+06,1.18E+06,1.11E+06,1.22E+06,1.24E+06
A6H5X4,A6H5X4,PHF11_MOUSE,Phf11,PHD finger protein 11,5920.13,8766.86,8112.72,8881.55,8166.01,6156.76,8296.49,6209.29
A6H5Y3,A6H5Y3,METH_MOUSE,Mtr,Methionine synthase,27409.3,19763.2,18825.3,20141.2,17787,17818,22130.5,21405.7
A6H5Z3,A6H5Z3,EXC6B_MOUSE,Exoc6b,Exocyst complex component 6B,41874.6,89066.5,84053,92419.4,57041,68616.4,76240.4,80706.1
A6H611,A6H611,MIPEP_MOUSE,Mipep,Mitochondrial intermediate peptidase,15331.8,16265.3,16548.4,15064.6,19045.9,19793.3,17790.8,16095.2
A6H630,A6H630,ARMT1_MOUSE,Armt1,Damage-control phosphatase ARMT1,14864.2,17208.8,9537.64,12088,19251.6,15158.1,13905.6,11865.6
A6H6A9,A6H6A9,RBG1L_MOUSE,Rabgap1l,Rab GTPase-activating protein 1-like,13211.6,16989.3,18287.6,20301.8,20644.8,16307.1,16631.2,19932.6
A6H6E2,A6H6E2,MMRN2_MOUSE,Mmrn2,Multimerin-2,8147.54,8175.47,8201.1,6066.72,8755.13,6753.4,10673.7,
A6H8H2,A6H8H2,DEN4C_MOUSE,Dennd4c,DENN domain-containing protein 4C,18725.7,16932.6,19437.2,18267.1,18395.6,19502.8,20114.6,19554.5
A6PWY4,A6PWY4,WDR76_MOUSE,Wdr76,WD repeat-containing protein 76,,,,,3833.11,,3631.54,5088.95
A6X8Z5,A6X8Z5,RHG31_MOUSE,Arhgap31,Rho GTPase-activating protein 31,9142.63,12863.9,11769.7,11890.1,8818.25,7343.25,11132.3,11747.2
A6X919,A6X919,D19L1_MOUSE,Dpy19l1,Probable C-mannosyltransferase DPY19L1,16025.1,23282.9,16684.1,32174,17028.6,13119.2,16522.9,19153.5
A6X935,A6X935,ITIH4_MOUSE,Itih4,"Inter alpha-trypsin inhibitor, heavy chain 4",228839,241225,267524,247561,261554,271782,260348,257379
A7MCT6,A7MCT6,EKI2_MOUSE,Etnk2,Ethanolamine kinase 2,30310.4,50863.7,49784.8,48668.3,54377.1,61632.2,50797.2,59196.3
A8E0Y8,A8E0Y8,IGSF2_MOUSE,Cd101,Immunoglobulin superfamily member 2,,,6132.3,,,,,
A9JSM3,A9JSM3,TM238_MOUSE,Tmem238,Transmembrane protein 238,26042.3,25691.8,24310.8,26903.7,20863.4,20840.6,26517.6,25620.7
B1AR13,B1AR13,CISD3_MOUSE,Cisd3,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial",156290,250795,216155,206087,226637,233876,257404,242203
B1ARW8,B1ARW8,CA122_MOUSE,,Uncharacterized protein C1orf122 homolog,25408.9,32740.4,26264.2,26998.6,27544.6,18199.5,20978.3,21933.2
B1AUE5,B1AUE5,PEX10_MOUSE,Pex10,Peroxisome biogenesis factor 10,41224.7,58498.7,46698.2,51851.3,47194.8,42278.3,44638.2,57793.7
B1AVY7,B1AVY7,KI16B_MOUSE,Kif16b,Kinesin-like protein KIF16B,144632,132106,126455,114651,127430,97506.7,96603.9,150541
B1AVZ0,B1AVZ0,UPP_MOUSE,Uprt,Uracil phosphoribosyltransferase homolog,7987.75,,7754.47,6972.54,5263.01,8130.62,7499.21,4445.16
B1AXP6,B1AXP6,TOM5_MOUSE,Tomm5,Mitochondrial import receptor subunit TOM5 homolog,,33122.8,33196.7,13700.3,21137.4,32818.9,23251.6,20804.9
B1AY10,B1AY10,NFX1_MOUSE,Nfx1,Transcriptional repressor NF-X1,9539.39,17714.4,14646,17580.9,11558,9896.54,11188.5,6528.88
B1AY13,B1AY13,UBP24_MOUSE,Usp24,Ubiquitin carboxyl-terminal hydrolase 24,17337.4,19575.5,20586.5,23186.3,20043.5,16798.2,21045.5,19701.3
B1AZA5,B1AZA5,TM245_MOUSE,Tmem245,Transmembrane protein 245,70215.8,67078.8,64742.6,69394.2,63580.3,56445.9,58655,68110.8
B1AZI6,B1AZI6,THOC2_MOUSE,Thoc2,THO complex subunit 2,136798,129143,118795,124709,97715,92304.5,110685,113865
B1AZP2,B1AZP2,DLGP4_MOUSE,Dlgap4,Disks large-associated protein 4,33855.5,22566.6,26417.3,29757.6,22259.7,27108.3,29087.9,25989.1
B2KF05,B2KF05,BRPF3_MOUSE,Brpf3,Bromodomain and PHD finger-containing protein 3,34106.3,32793.1,26625.6,39436.9,21021.6,24364.5,28578.9,30340.8
B2RQC6,B2RQC6,PYR1_MOUSE,Cad,CAD protein,23345.4,26968.4,27346.2,23790.3,24921.1,27477,27213.2,25536.3
B2RQC6;Q8C196,B2RQC6;Q8C196,CPSM_MOUSE;PYR1_MOUSE,Cad;Cps1,CAD protein,6.82E+06,5.64E+06,4.82E+06,5.95E+06,6.55E+06,3.71E+06,5.29E+06,5.62E+06
B2RQE8,B2RQE8,RHG42_MOUSE,Arhgap42,Rho GTPase-activating protein 42,19613.4,15230.9,15117.1,17854.4,27018.9,13614.3,14473.7,23461
B2RRE7,B2RRE7,OTUD4_MOUSE,Otud4,OTU domain-containing protein 4,26862,29578.9,35118.9,31803.3,35101,32311.5,33439.7,35730.2
B2RS91,B2RS91,RRN3_MOUSE,Rrn3,RNA polymerase I-specific transcription initiation factor RRN3,,,22316.3,,,13805.7,,
B2RU80,B2RU80,PTPRB_MOUSE,Ptprb,Receptor-type tyrosine-protein phosphatase beta,5561.71,10489.9,11779.1,9811.55,9281.55,,7438.42,7382.95
B2RUR8,B2RUR8,OTU7B_MOUSE,Otud7b,OTU domain-containing protein 7B,,,35166.8,,,,,
B2RVL6,B2RVL6,ZCH24_MOUSE,Zcchc24,Zinc finger CCHC domain-containing protein 24,22590.2,24128.4,22287.6,19752.1,25722.8,17335.5,20368.8,26907.3
B2RX12,B2RX12,MRP3_MOUSE,Abcc3,ATP-binding cassette sub-family C member 3,36530.6,47369.6,46421.2,46094.1,41831,39093,39037.3,47196.9
B2RX14,B2RX14,TUT4_MOUSE,Tut4,Terminal uridylyltransferase 4,11861.6,10984.6,8140.31,12517.1,10826.7,9683.09,10649.2,7440.71
B2RXC1,B2RXC1,TPC11_MOUSE,Trappc11,Trafficking protein particle complex subunit 11,606121,648264,641282,525011,587287,613545,566560,634327
B2RXR6;Q505D1,B2RXR6;Q505D1,ANR28_MOUSE;ANR44_MOUSE,Ankrd28;Ankrd44,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B,3294.64,2807.91,,,,,2490.59,2353.98
B2RXS4,B2RXS4,PLXB2_MOUSE,Plxnb2,Plexin-B2,69439.8,88134.5,90287,82224,78411.2,83955.6,88474.3,92917.5
B2RY56,B2RY56,RBM25_MOUSE,Rbm25,RNA-binding protein 25,35095.6,40611.1,34554.6,34635.5,45624.7,37680.5,36639.6,36068.8
B2RY71,B2RY71,DNAI3_MOUSE,Dnai3,Dynein axonemal intermediate chain 3,19947.2,26665.6,22832.5,21699.4,20435.6,18584.1,21889.1,17191.7
B7ZCC9,B7ZCC9,AGRG4_MOUSE,Adgrg4,Adhesion G-protein coupled receptor G4,234342,247282,156792,246836,176733,87409.2,151644,181936
B7ZMP1,B7ZMP1,XPP3_MOUSE,Xpnpep3,Xaa-Pro aminopeptidase 3,65515.2,86258,74707.4,77870.7,77455,75047.8,76638.5,71441.1
B8JK39,B8JK39,ITA9_MOUSE,Itga9,Integrin alpha-9,33961.7,39783.1,45878,42507.1,41364.9,42228.4,42947.1,44652.6
B8ZXI1,B8ZXI1,QTRT2_MOUSE,Qtrt2,Queuine tRNA-ribosyltransferase accessory subunit 2,26440.8,27325.2,30308.9,38241.4,30689.3,34734.8,30602.9,37349.3
B9EJ80,B9EJ80,PDZD8_MOUSE,Pdzd8,PDZ domain-containing protein 8,10400.5,4829.45,6845.23,8744.6,8796.19,7216.63,6088.79,5789.32
B9EKI3,B9EKI3,TMF1_MOUSE,Tmf1,TATA element modulatory factor,38109.1,35498.1,39275.5,40240.8,40492.7,37068.6,41574.9,34983.6
C0HK79;C0HK80,C0HK79;C0HK80,ARXS1_MOUSE;ARXS2_MOUSE,Arxes1;Arxes2,Adipocyte-related X-chromosome expressed sequence 1,32486.7,24507.8,16466.9,33879.7,,12490.6,17126.8,26997
C0HKD8;C0HKD9,C0HKD8;C0HKD9,MFA1A_MOUSE;MFA1B_MOUSE,Mfap1a;Mfap1b,Microfibrillar-associated protein 1A,11683.8,22160.1,25643.6,14376.3,17905.2,15913.1,21025.3,23637.1
C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q6GSS7;Q8BFU2;Q8CGP5;Q8CGP6,C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q6GSS7;Q8BFU2;Q8CGP5;Q8CGP6,H2A1B_MOUSE;H2A1C_MOUSE;H2A1D_MOUSE;H2A1E_MOUSE;H2A1F_MOUSE;H2A1G_MOUSE;H2A1H_MOUSE;H2A1I_MOUSE;H2A1N_MOUSE;H2A1O_MOUSE;H2A1P_MOUSE;H2A2A_MOUSE;H2A3_MOUSE,H2ac11;H2ac12;H2ac13;H2ac25;H2ac4;H2ac6;H2ac7;H2ac8;Hist1h2af;Hist1h2an;Hist1h2ao;Hist1h2ap;Hist2h2aa1,Histone H2A type 1-B,,8132.96,5549.05,5413.6,,,3685.97,8190.1
C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6,C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7;Q8R1M2,H2A1B_MOUSE;H2A1C_MOUSE;H2A1D_MOUSE;H2A1E_MOUSE;H2A1F_MOUSE;H2A1G_MOUSE;H2A1H_MOUSE;H2A1I_MOUSE;H2A1N_MOUSE;H2A1O_MOUSE;H2A1P_MOUSE;H2A3_MOUSE,H2ac11;H2ac12;H2ac13;H2ac25;H2ac4;H2ac6;H2ac7;H2ac8;Hist1h2af;Hist1h2an;Hist1h2ao;Hist1h2ap,Histone H2A type 1-B,,6605.65,5431.09,,1806,,,7759.02
C0HKG5;C0HKG6,C0HKG5;C0HKG6,RNT2A_MOUSE;RNT2B_MOUSE,Rnaset2a;Rnaset2b,Ribonuclease T2-A,101994,106018,112688,105374,112759,91718.7,114850,125393
D0QMC3,D0QMC3,MNDAL_MOUSE,Mndal,Myeloid cell nuclear differentiation antigen-like protein,2986.46,3967.56,4834.45,8121.06,,2445.87,,
D0QMC3;P0DOV1,D0QMC3;P0DOV1;Q8CGE8,IFI5B_MOUSE;MNDAL_MOUSE,Mnda;Mndal,Myeloid cell nuclear differentiation antigen-like protein,19792.9,15563.7,16446.6,13210,15625.1,20311.1,20015.2,11321.2
D0QMC3;P0DOV2,D0QMC3;P0DOV2,IFI4_MOUSE;MNDAL_MOUSE,Ifi204;Mndal,Myeloid cell nuclear differentiation antigen-like protein,30266.4,48019.9,45775.5,23078.5,49074,37797,35543.5,53910.6
