Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,/nextflow_runs/work/0b/cd9f8e0d84ba1195e591146376f93f/250625_Stitch_S4611_IB_TPP_stauros_treat_T6_rep3_R1.mzML,/nextflow_runs/work/d7/f784ad75390802c2c3b005e80fff55/250625_Stitch_S4610_IB_TPP_stauros_control_T6_rep2_R1.mzML,/nextflow_runs/work/a1/85649604e2b2415d2f64f44be281e9/250625_Stitch_S4610_IB_TPP_stauros_control_T6_rep4_R1.mzML,/nextflow_runs/work/56/7b52e7aeb74109b02169869c2d7ecc/250625_Stitch_S4611_IB_TPP_stauros_treat_T6_rep4_R1.mzML,/nextflow_runs/work/1a/e8750790b3adc3a7a1a37645361f80/250625_Stitch_S4611_IB_TPP_stauros_treat_T6_rep1_R1.mzML,/nextflow_runs/work/3e/0970b23559fe20edc6370815db8ee6/250625_Stitch_S4610_IB_TPP_stauros_control_T6_rep1_R1.mzML,/nextflow_runs/work/20/b9465cbeac6ea65d7bd30af785176a/250625_Stitch_S4611_IB_TPP_stauros_treat_T6_rep2_R1.mzML,/nextflow_runs/work/70/9fc6e04e87ba43745794f5582a1775/250625_Stitch_S4610_IB_TPP_stauros_control_T6_rep3_R1.mzML
A2AIL4,A2AIL4,NDUF6_MOUSE,Ndufaf6,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6",5992.87,2328.92,2421.54,,5492.93,,3519.79,
A2AJ15,A2AJ15,MA1B1_MOUSE,Man1b1,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",,5273.24,,,,,1604.04,
A2AJ88,A2AJ88,PLPL7_MOUSE,Pnpla7,Patatin-like phospholipase domain-containing protein 7,,,8275.12,6631.59,3654.76,1906.64,5019.26,4925.36
A2AJB2,A2AJB2,TM141_MOUSE,Tmem141,Transmembrane protein 141,16693.3,14606.8,11199.3,14477,18949,18666.8,12607.5,18266.5
A2AJI0,A2AJI0,MA7D1_MOUSE,Map7d1,MAP7 domain-containing protein 1,23257.4,17819.3,21033.7,21768.7,20085.2,16289.7,16800.6,20244.9
A2AJL3,A2AJL3,FGGY_MOUSE,Fggy,FGGY carbohydrate kinase domain-containing protein,487120,573441,511107,472660,561306,618888,817538,302627
A2AJT4,A2AJT4,PNISR_MOUSE,Pnisr,Arginine/serine-rich protein PNISR,5618.63,6545.68,4414.41,7565.97,5115.44,5700.91,5666.51,5715.94
A2AKB9,A2AKB9,DCA10_MOUSE,Dcaf10,DDB1- and CUL4-associated factor 10,,,,29017.3,13905.5,,11987.6,
A2AKK5,A2AKK5,ACNT1_MOUSE,Acnat1,Acyl-coenzyme A amino acid N-acyltransferase 1,19209.9,13538,15987.7,17366.5,8899.01,14938.1,19081.5,5385.77
A2AKK5;Q8BGG9,A2AKK5;Q8BGG9,ACNT1_MOUSE;ACNT2_MOUSE,Acnat1;Acnat2,Acyl-coenzyme A amino acid N-acyltransferase 1,149965,96597.3,118548,123122,120985,99770.1,105721,132239
A2AKQ0,A2AKQ0,S35D1_MOUSE,Slc35d1,Nucleotide sugar transporter SLC35D1,16349.8,37046.5,34595.8,21288.9,32730.2,53128.8,33322.3,23990
A2ALU4,A2ALU4,SHRM2_MOUSE,Shroom2,Protein Shroom2,19530.3,18927,16689.6,18845.2,21089.3,19124.6,19879.6,16996
A2AMZ4,A2AMZ4,NDUF8_MOUSE,Ndufaf8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8,6907.76,7214.21,5824.63,5265.32,6440,6237.8,4988.46,5768.62
A2APT9,A2APT9,KLD7A_MOUSE,Klhdc7a,Kelch domain-containing protein 7A,13276.7,15548.9,17013.2,17440.7,18018.5,16718.3,15736.1,9620.94
A2APV2,A2APV2,FMNL2_MOUSE,Fmnl2,Formin-like protein 2,50085.6,56008,47493.6,37900.8,34761.2,39574.2,60324,8667.92
A2AQ19,A2AQ19,RTF1_MOUSE,Rtf1,RNA polymerase-associated protein RTF1 homolog,36525.6,34428.3,36935.6,35181.5,44579.7,30164.7,33447,34245.9
A2AQ25,A2AQ25,SKT_MOUSE,Skt,Sickle tail protein,18450.4,18192.6,21206.8,17385.2,18713.5,18548.4,17488.5,16427.1
A2AR02,A2AR02,PPIG_MOUSE,Ppig,Peptidyl-prolyl cis-trans isomerase G,6042.31,3733.84,9503.4,6927.24,8618.65,3832.54,6325.1,9739.32
A2ARA8,A2ARA8,ITA8_MOUSE,Itga8,Integrin alpha-8,8796.31,9191.66,13682,13188.3,8326.18,9303.57,10844.5,14622
A2ARZ3,A2ARZ3,FSIP2_MOUSE,Fsip2,Fibrous sheath-interacting protein 2,147966,84151.7,147546,140188,66011.3,96048,82663.4,102412
A2AS89,A2AS89,GDAH_MOUSE,Agmat,"Guanidino acid hydrolase, mitochondrial",542492,563249,587082,405669,433045,502488,503027,290537
A2ASQ1,A2ASQ1,AGRIN_MOUSE,Agrn,Agrin,3593.9,3870.94,4380.82,4115.58,4087.56,5294.47,3578.84,3989.07
A2ASZ8,A2ASZ8,SCMC2_MOUSE,Slc25a25,Mitochondrial adenyl nucleotide antiporter SLC25A25,40064.7,52365.7,48109.3,47767.8,43079.5,59672.2,45751,44574.9
A2ATU0,A2ATU0,DHTK1_MOUSE,Dhtkd1,2-oxoadipate dehydrogenase complex component E1,25952.1,32991.4,32520.6,27483.7,27658.4,41456.1,35351.6,32450.2
A2AUY4,A2AUY4,BAZ2B_MOUSE,Baz2b,Bromodomain adjacent to zinc finger domain protein 2B,262793,256804,313576,247690,220158,196985,302794,195808
A2AVR2,A2AVR2,MROH7_MOUSE,Mroh7,Maestro heat-like repeat-containing protein family member 7,14203.7,18249.6,8986.99,5423.99,10580.3,13728,11423.1,7553.73
A2AVZ9,A2AVZ9,S43A3_MOUSE,Slc43a3,Equilibrative nucleobase transporter 1,5343.01,7645.65,3696.01,7954.25,6870.12,3961.58,6055.79,
A2AWA9,A2AWA9,RBGP1_MOUSE,Rabgap1,Rab GTPase-activating protein 1,14797,14834.2,14740.9,17586.2,17599.2,14757.9,16194.6,13355.7
A2AWR3,A2AWR3,LYCHS_MOUSE,Gpr155,Lysosomal cholesterol signaling protein,27111.1,15930.7,17964.7,19195.6,16665.7,15140.6,17785.1,18401.7
A2BDX3,A2BDX3,MOCS3_MOUSE,Mocs3,Adenylyltransferase and sulfurtransferase MOCS3,,,,,,,1855.06,
A2BH40,A2BH40,ARI1A_MOUSE,Arid1a,AT-rich interactive domain-containing protein 1A,4197.4,4251.91,2927.44,6934.63,10533.8,5935.69,5799.84,2870.01
A2BH40;E9Q4N7,A2BH40;E9Q4N7,ARI1A_MOUSE;ARI1B_MOUSE,Arid1a;Arid1b,AT-rich interactive domain-containing protein 1A,6725.97,,7470.59,8491.09,1637.33,3707.91,2254.39,9071.97
A2BIM8;P02762;P04938,P02762;P04938;B5X0G2;A2BIM8,MUP11_MOUSE;MUP18_MOUSE;MUP6_MOUSE,Mup11;Mup18;Mup6,Major urinary protein 18,,2279.17,,,3484.64,,6531.98,
A2CG49,A2CG49,KALRN_MOUSE,Kalrn,Kalirin,,,,1742.35,,,,2442.31
A2RSJ4,A2RSJ4,BLT3B_MOUSE,Bltp3b,Bridge-like lipid transfer protein family member 3B,17917.4,11121.6,10808.5,13349.5,14136.9,11465.8,14795,11778.5
A2RSY6,A2RSY6,TRM1L_MOUSE,Trmt1l,TRMT1-like protein,,,,,,1934.7,,
A2RT67,A2RT67,DEND3_MOUSE,Dennd3,DENN domain-containing protein 3,10903.9,20085.8,4100.94,36257.1,20532.8,10930.4,,24251
A2RTL5,A2RTL5,RSRC2_MOUSE,Rsrc2,Arginine/serine-rich coiled-coil protein 2,9439.21,7087.7,10937.1,9745.3,10252.3,8934.49,9400.86,8876.97
A3KGV1,A3KGV1,ODFP2_MOUSE,Odf2,Outer dense fiber protein 2,39676.2,22676.5,38824.9,35310.7,,8651.29,15630.4,34127.7
A3KMN5,A3KMN5,LARGN_MOUSE,Prr16,Protein Largen,,,,9826.03,11612.8,10130.8,9120.5,8811.98
A3KMP2,A3KMP2,TTC38_MOUSE,Ttc38,Tetratricopeptide repeat protein 38,383682,392686,386984,393048,428605,386995,412540,345597
A6H5X4,A6H5X4,PHF11_MOUSE,Phf11,PHD finger protein 11,5648.32,6559.29,3752.89,1618.49,2263.82,2953.8,2917.39,9522.74
A6H5Y3,A6H5Y3,METH_MOUSE,Mtr,Methionine synthase,4989.9,8419.86,7743.91,5709.85,10081.4,7839.58,9825.96,9714.53
A6H6A9,A6H6A9,RBG1L_MOUSE,Rabgap1l,Rab GTPase-activating protein 1-like,10687.6,6712.55,8511.72,7671,10756.4,8425.71,7286.39,11532.1
A6H6E2,A6H6E2,MMRN2_MOUSE,Mmrn2,Multimerin-2,,4453.42,2619.02,2407.79,7895.87,2712.56,8519.8,3509.58
A6H8H2,A6H8H2,DEN4C_MOUSE,Dennd4c,DENN domain-containing protein 4C,7328.12,5412.04,7590.89,6203.16,6326.26,5944.25,5594.23,6825.17
A6X8Z5,A6X8Z5,RHG31_MOUSE,Arhgap31,Rho GTPase-activating protein 31,10139.6,5643.76,10728.4,10675.4,8777.69,5316,11128.1,11070.2
A6X935,A6X935,ITIH4_MOUSE,Itih4,"Inter alpha-trypsin inhibitor, heavy chain 4",127819,150804,145514,144109,142448,166043,151026,117121
A9JSM3,A9JSM3,TM238_MOUSE,Tmem238,Transmembrane protein 238,24185.5,18456.9,18924.5,18549.5,17714.3,21822.4,20273.7,20323.7
B1AQJ2,B1AQJ2,UBP36_MOUSE,Usp36,Ubiquitin carboxyl-terminal hydrolase 36,,6818.25,,5950.64,,4174.4,2863.75,
B1AR13,B1AR13,CISD3_MOUSE,Cisd3,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial",90527.5,92489.2,101404,89427,75559.6,120275,120336,91609.3
B1ARW8,B1ARW8,CA122_MOUSE,,Uncharacterized protein C1orf122 homolog,12054,14495.9,13333.4,9110.39,9631.26,10448.9,11201.6,18932.8
B1AUE5,B1AUE5,PEX10_MOUSE,Pex10,Peroxisome biogenesis factor 10,14961.1,10064.5,11330.6,12759.3,7726.35,12401.5,7636.31,9489.97
B1AUR6,B1AUR6,MMS22_MOUSE,Mms22l,Protein MMS22-like,35544.2,,,29387.7,26964.8,35369.8,,
B1AVZ0,B1AVZ0,UPP_MOUSE,Uprt,Uracil phosphoribosyltransferase homolog,2824.65,,5749.26,4246.23,,5686.52,2580.46,1718.5
B1AXH1,B1AXH1,NHSL2_MOUSE,Nhsl2,NHS-like protein 2,4676.62,2921.95,,,,,,
B1AXP6,B1AXP6,TOM5_MOUSE,Tomm5,Mitochondrial import receptor subunit TOM5 homolog,22116.5,17594.4,16595.7,23286.3,15740.9,38450.7,18948.3,18446.9
B1AY10,B1AY10,NFX1_MOUSE,Nfx1,Transcriptional repressor NF-X1,1603.24,1462.39,3009.65,2827.4,4371.55,1993.92,1142.86,1501.56
B1AY13,B1AY13,UBP24_MOUSE,Usp24,Ubiquitin carboxyl-terminal hydrolase 24,,,1137.79,,,,255.682,
B1AZA5,B1AZA5,TM245_MOUSE,Tmem245,Transmembrane protein 245,47083.2,33445,50362.2,37631.8,38146.8,42209.8,34259.5,43927.9
B1AZI6,B1AZI6,THOC2_MOUSE,Thoc2,THO complex subunit 2,76664.3,81109.1,79123.4,85332.1,77609.6,76108.8,78077.7,89439.6
B1AZP2,B1AZP2,DLGP4_MOUSE,Dlgap4,Disks large-associated protein 4,11091,14703.7,13052,13365.5,14786.9,13655.2,13015.1,18861.8
B2RQA1,B2RQA1,KCA10_MOUSE,Kcna10,Potassium voltage-gated channel subfamily A member 10,,,,677200,,,524090,
B2RQE8,B2RQE8,RHG42_MOUSE,Arhgap42,Rho GTPase-activating protein 42,16851.9,21924.3,14777.3,16754.5,18231.9,9763.9,15367.5,14684.4
B2RRE7,B2RRE7,OTUD4_MOUSE,Otud4,OTU domain-containing protein 4,13975.5,14211.3,12195.7,10688.5,13548.4,11959.5,14607.3,12664
B2RUR8,B2RUR8;Q8R554,OTU7B_MOUSE,Otud7b,OTU domain-containing protein 7B,74246.7,82002.4,84852.7,163654,,47311.7,86674,95547.5
B2RVL6,B2RVL6,ZCH24_MOUSE,Zcchc24,Zinc finger CCHC domain-containing protein 24,12026.1,9979.72,11029.4,16694,13453,10381.8,11615.5,12286.9
B2RX12,B2RX12,MRP3_MOUSE,Abcc3,ATP-binding cassette sub-family C member 3,30050.6,19300.1,20785.9,26649.6,18952.9,17492.7,17939.3,28321.7
B2RX14,B2RX14,TUT4_MOUSE,Tut4,Terminal uridylyltransferase 4,4995.14,4220.84,7403.46,7871.2,5125.1,5535.52,7027.23,6077.84
B2RXS4,B2RXS4,PLXB2_MOUSE,Plxnb2,Plexin-B2,34619.5,29637.4,30438.4,30553.5,26774.8,31686.5,30500.3,29505
B2RY56,B2RY56,RBM25_MOUSE,Rbm25,RNA-binding protein 25,18226.7,15183.1,15819.6,22749,17759.2,15680.3,17635.3,13149.2
B7ZCC9,B7ZCC9,AGRG4_MOUSE,Adgrg4,Adhesion G-protein coupled receptor G4,211607,136686,177361,209478,107907,129330,86434.7,182770
B7ZMP1,B7ZMP1,XPP3_MOUSE,Xpnpep3,Xaa-Pro aminopeptidase 3,21578.2,28279.9,19647.7,24095,24599.9,19736.3,27013.3,23239.2
B8JK39,B8JK39,ITA9_MOUSE,Itga9,Integrin alpha-9,20028,16173.9,20738.8,14472.1,15715.1,17702.7,19710.7,8693.2
B8ZXI1,B8ZXI1,QTRT2_MOUSE,Qtrt2,Queuine tRNA-ribosyltransferase accessory subunit 2,10101.5,17210.5,18307.2,13884.6,13395.5,19391.8,12059.8,10169.9
B9EKI3,B9EKI3,TMF1_MOUSE,Tmf1,TATA element modulatory factor,28383.1,30153.4,28776.1,29682.8,32112.4,32034.2,30332.2,27943.3
C0HKD8;C0HKD9,C0HKD8;C0HKD9,MFA1A_MOUSE;MFA1B_MOUSE,Mfap1a;Mfap1b,Microfibrillar-associated protein 1A,10417.9,13872,16408,8892.79,15215.1,11544.1,9761.76,10496.3
C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6,C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7;Q8R1M2,H2A1B_MOUSE;H2A1C_MOUSE;H2A1D_MOUSE;H2A1E_MOUSE;H2A1F_MOUSE;H2A1G_MOUSE;H2A1H_MOUSE;H2A1I_MOUSE;H2A1N_MOUSE;H2A1O_MOUSE;H2A1P_MOUSE;H2A3_MOUSE,H2ac11;H2ac12;H2ac13;H2ac25;H2ac4;H2ac6;H2ac7;H2ac8;Hist1h2af;Hist1h2an;Hist1h2ao;Hist1h2ap,Histone H2A type 1-B,,,,,909.493,,1959.73,
C0HKG5;C0HKG6,C0HKG5;C0HKG6,RNT2A_MOUSE;RNT2B_MOUSE,Rnaset2a;Rnaset2b,Ribonuclease T2-A,51045.4,49679.5,58367.6,53776.4,34767.5,55960.6,57378.7,58876.8
D3YXG0,D3YXG0,HMCN1_MOUSE,Hmcn1,Hemicentin-1,57027.9,84785,,65475.9,64000.2,67580.9,,51059.1
D3YXK2,D3YXK2,SAFB1_MOUSE,Safb,Scaffold attachment factor B1,20010.4,24587.4,27314.4,20629.2,22285.2,21695.8,23569.8,18502.1
D3YXK2;Q80YR5,D3YXK2;Q80YR5,SAFB1_MOUSE;SAFB2_MOUSE,Safb;Safb2,Scaffold attachment factor B1,137200,90382.3,119541,101080,98139.5,90450.5,142641,154166
D3YZP9,D3YZP9,CCDC6_MOUSE,Ccdc6,Coiled-coil domain-containing protein 6,56221.1,58063,57151,70543.3,57254.4,54579,60160.9,56215.7
D3Z4S3,D3Z4S3,PTRD1_MOUSE,Ptrhd1,Putative peptidyl-tRNA hydrolase PTRHD1,4923.73,5937.6,9308.63,5026.13,6196.55,3971.34,8968.29,11049.8
D3Z5L6,D3Z5L6,S18B1_MOUSE,Slc18b1,MFS-type transporter SLC18B1,4394.97,4396.92,3456.91,6051.76,4288.73,4069.83,3211.57,2944.99
D3Z6P0,D3Z6P0,PDIA2_MOUSE,Pdia2,Protein disulfide-isomerase A2,,,,,,1075.51,,
D3Z6Q9,D3Z6Q9,BIN2_MOUSE,Bin2,Bridging integrator 2,,7496.43,4733.5,5513.63,5296.7,4526.13,5348.73,3675.38
D3Z6Q9;O08539,O08539;Q7TQF7;D3Z6Q9,BIN1_MOUSE;BIN2_MOUSE,Bin1;Bin2,Bridging integrator 2,,15962.7,7759.49,8770.52,19374.7,16480.1,31812.8,5729.37
D3Z7Q2,D3Z7Q2,SIM20_MOUSE,Smim20,Small integral membrane protein 20,,,,,,2605.4,4804.53,
E5FYH1,E5FYH1,TOPZ1_MOUSE,Topaz1,Protein TOPAZ1,38616.6,32972.6,34419.8,26016.4,23559.7,43467.6,24556.8,35120.8
E9PUL5,E9PUL5,PRRT2_MOUSE,Prrt2,Proline-rich transmembrane protein 2,12409.6,6439.14,,11358.9,,8421.07,10787.2,11473.4
E9PV24,E9PV24,FIBA_MOUSE,Fga,Fibrinogen alpha chain,68645.7,73468.4,73005.1,64273,79165.1,71344.1,78156,65247.8
E9PVB5,E9PVB5,TTC17_MOUSE,Ttc17,Tetratricopeptide repeat protein 17,48222.4,15344.6,24667.7,16690.1,3534.63,21577.6,,10076.7
E9PVX6,E9PVX6,KI67_MOUSE,Mki67,Proliferation marker protein Ki-67,4246.46,,,,,,379.704,
E9PW74,E9PW74,GIMD1_MOUSE,Gimd1,GTPase IMAP family member GIMD1,11868.2,6545.02,8355.54,5226.49,7243.79,4025.87,3697.33,9775.38
E9PXX9;O88627,E9PXX9;O88627,S28A1_MOUSE;S28A2_MOUSE,Slc28a1;Slc28a2,Sodium/nucleoside cotransporter 1,,,7427.37,6325.21,,5964.56,,8626.31
E9PYH6,E9PYH6,SET1A_MOUSE,Setd1a,Histone-lysine N-methyltransferase SETD1A,,,,,838.862,,,
E9PYK3,E9PYK3,PARP4_MOUSE,Parp4,Protein mono-ADP-ribosyltransferase PARP4,24410.1,24495.7,27086.7,24877.2,30215.8,27179.7,26154.8,22908.3
E9PYL2,E9PYL2,PRR12_MOUSE,Prr12,Proline-rich protein 12,6848.98,13788.6,12195.1,13696.5,8197.15,9888.64,10222.7,10115.1
E9PZJ8,E9PZJ8,ASCC3_MOUSE,Ascc3,Activating signal cointegrator 1 complex subunit 3,,,8320.72,8676.14,7274.98,11347.8,6987.55,
E9PZM4,E9PZM4,CHD2_MOUSE,Chd2,Chromodomain-helicase-DNA-binding protein 2,,8066.74,6356.33,9499.65,6787.43,4354.68,5666.96,
E9Q0S6,E9Q0S6,TENS1_MOUSE,Tns1,Tensin-1,14160.5,14943.7,13087.3,12646.7,13750.1,15113.6,12723.4,15670.6
E9Q137,E9Q137,TX264_MOUSE,Tex264,Testis-expressed protein 264 homolog,108481,136451,141675,144605,151805,129018,144982,82519.9
E9Q1P8,E9Q1P8,I2BP2_MOUSE,Irf2bp2,Interferon regulatory factor 2-binding protein 2,68458.2,94450,91596.4,79043.4,79320.7,93031.3,91393.6,84178.6
E9Q309,E9Q309,CE350_MOUSE,Cep350,Centrosome-associated protein 350,1.01E+06,783546,1.14E+06,1.01E+06,716806,980396,1.07E+06,1.30E+06
E9Q394,E9Q394,AKP13_MOUSE,Akap13,A-kinase anchor protein 13,17638,17672.3,17093.1,20721.3,18772.5,15392,15949.6,19517.4
E9Q3C1,E9Q3C1,C2CD2_MOUSE,C2cd2,C2 domain-containing protein 2,26601.1,20145.2,23914.7,22324.7,20146.9,17137.8,17228.9,28967
E9Q3L2,E9Q3L2,PI4KA_MOUSE,Pi4ka,Phosphatidylinositol 4-kinase alpha,75282,26262.5,24867,46310.6,35694.2,38954.6,50849.7,61071.8
E9Q414,E9Q414,APOB_MOUSE,Apob,Apolipoprotein B-100,506274,556609,491686,483172,535281,516709,577375,484777
E9Q4N7,E9Q4N7,ARI1B_MOUSE,Arid1b,AT-rich interactive domain-containing protein 1B,20316.4,28556.9,22839.8,34606,27349,21715.3,19801,26290.8
E9Q4P1,E9Q4P1,WDFY1_MOUSE,Wdfy1,WD repeat and FYVE domain-containing protein 1,19173.9,22895,17409,18692,25432.6,25729.6,23186.3,19420
E9Q4Z2,E9Q4Z2,ACACB_MOUSE,Acacb,Acetyl-CoA carboxylase 2,18480.7,10624.3,4199.34,7657.88,10387.8,9685.08,18587.7,8513.17
E9Q4Z2;Q5SWU9,E9Q4Z2;Q5SWU9,ACACA_MOUSE;ACACB_MOUSE,Acaca;Acacb,Acetyl-CoA carboxylase 2,9513.22,4527.35,4004.85,8690.8,7550.12,8946.44,2523.35,16686.6
E9Q555,E9Q555,RN213_MOUSE,Rnf213,E3 ubiquitin-protein ligase RNF213,9818.6,9165.84,9697.73,8697.08,9828.52,13426.8,9646.81,10333.9
E9Q557,E9Q557,DESP_MOUSE,Dsp,Desmoplakin,16508.1,6389.87,7051.78,6820.76,7386.15,4655.05,6094.62,7245.85
E9Q5C9,E9Q5C9,NOLC1_MOUSE,Nolc1,Nucleolar and coiled-body phosphoprotein 1,111098,118386,140999,126550,146273,137387,155515,123592
E9Q5F9,E9Q5F9,SETD2_MOUSE,Setd2,Histone-lysine N-methyltransferase SETD2,4908.58,4014.99,4758.37,7671.11,5499.19,4297.53,3465.62,5893.27
E9Q5K4,E9Q5K4,CP2CN_MOUSE,Cyp2c23,Cytochrome P450 2C44,463976,600628,639994,481039,590708,708136,856657,376335
